Subfolder,Filename,Duration,SOA,oddBallYes
auditoryStimuli,standardTone.wav,0.2,0.8,0
auditoryStimuli,standardTone.wav,0.2,0.8,0
auditoryStimuli,standardTone.wav,0.2,0.8,0
auditoryStimuli,standardTone.wav,0.2,0.8,0
auditoryStimuli,deviantTone.wav,0.2,0.8,1
auditoryStimuli,standardTone.wav,0.2,0.8,0
auditoryStimuli,standardTone.wav,0.2,0.8,0
auditoryStimuli,standardTone.wav,0.2,0.8,0
auditoryStimuli,standardTone.wav,0.2,0.8,0
auditoryStimuli,standardTone.wav,0.2,0.8,0
auditoryStimuli,standardTone.wav,0.2,0.8,0
auditoryStimuli,standardTone.wav,0.2,0.8,0
auditoryStimuli,deviantTone.wav,0.2,0.8,1
auditoryStimuli,standardTone.wav,0.2,0.8,0
auditoryStimuli,standardTone.wav,0.2,0.8,0
auditoryStimuli,standardTone.wav,0.2,0.8,0
